"","age_range","outcome","involved_person","self_defined_ethnicity","gender","legislation","outcome_linked_to_object_of_search","datetime","removal_of_more_than_outer_clothing","outcome_object.id","outcome_object.name","location.latitude","location.street.id","location.street.name","location.longitude","operation","officer_defined_ethnicity","type","operation_name","object_of_search"
"76",over 34,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-05-11T20:56:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Offensive weapons
"77",25-34,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-05-12T16:54:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person and Vehicle search,NULL,Controlled drugs
"78",over 34,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-05-13T11:33:00+00:00,FALSE,bu-arrest,Arrest,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Article for use in theft
"79",18-24,Arrest,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-05-13T19:28:00+00:00,FALSE,bu-arrest,Arrest,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Anything to threaten or harm anyone
"80",10-17,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-05-20T23:32:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"81",25-34,A no further action disposal,TRUE,Mixed/Multiple ethnic groups - White and Asian,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-05-21T11:35:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Stolen goods
"82",over 34,A no further action disposal,TRUE,White - Any other White background,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-05-21T11:30:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Controlled drugs
"83",over 34,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-05-22T16:16:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Anything to threaten or harm anyone
"84",25-34,A no further action disposal,TRUE,Asian/Asian British - Pakistani,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-05-26T07:58:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Controlled drugs
"85",10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-05-27T08:45:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
